[2026-04-23 07:41:17] [staff01] [STAFF] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS871555
[2026-04-23 07:41:20] [staff01] [STAFF] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS871555
[2026-04-23 07:56:14] [admin02] [ADMIN] [DELETE] Đã xóa hồ sơ vi phạm | ID: HS871555
[2026-04-23 08:00:18] [staff02] [STAFF] [LOGIN] User staff02 đã đăng nhập | ID: staff02
[2026-04-23 08:00:38] [staff02] [STAFF] [LOGIN] User staff02 đã đăng nhập | ID: staff02
[2026-04-23 13:04:30] [staff02] [STAFF] [LOGIN] User staff02 đã đăng nhập | ID: staff02
[2026-04-23 13:07:53] [staff02] [STAFF] [CREATE] Đã thêm mới hồ sơ vi phạm | ID: HS010
[2026-04-23 13:09:16] [admin02] [ADMIN] [LOGIN] User admin02 đã đăng nhập | ID: admin02
[2026-04-23 15:23:50] [admin02] [ADMIN] [LOGIN] User admin02 đã đăng nhập | ID: admin02
[2026-04-24 09:32:55] [admin02] [ADMIN] [LOGIN] User admin02 đã đăng nhập | ID: admin02
[2026-04-24 10:09:16] [admin02] [ADMIN] [LOGIN] User admin02 đã đăng nhập | ID: admin02
[2026-04-24 11:27:02] [admin02] [ADMIN] [LOGIN] User admin02 đã đăng nhập | ID: admin02
[2026-04-24 11:27:13] [admin02] [ADMIN] [LOGIN] User admin02 đã đăng nhập | ID: admin02
[2026-04-24 11:27:29] [staff01] [STAFF] [LOGIN] User staff01 đã đăng nhập | ID: staff01
[2026-04-24 14:52:19] [staff01] [STAFF] [LOGIN] User staff01 đã đăng nhập | ID: staff01
[2026-04-24 14:53:18] [staff01] [STAFF] [CREATE] Đã thêm mới hồ sơ vi phạm | ID: HS011
[2026-04-24 14:54:02] [staff01] [STAFF] [CREATE] Đã thêm mới hồ sơ vi phạm | ID: HS012
[2026-04-24 14:56:46] [staff01] [STAFF] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS010
[2026-04-24 14:56:57] [admin01] [ADMIN] [LOGIN] User admin01 đã đăng nhập | ID: admin01
[2026-04-24 15:26:33] [admin01] [ADMIN] [CREATE] Đã thêm mới hồ sơ vi phạm | ID: HS013
[2026-04-24 15:27:00] [admin01] [ADMIN] [LOGIN] User admin01 đã đăng nhập | ID: admin01
[2026-04-24 15:51:41] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 15:52:06] [admin01] [ADMIN] [DELETE] Đã xóa hồ sơ vi phạm | ID: HS013
[2026-04-24 15:52:33] [admin01] [ADMIN] [CREATE] Đã thêm mới hồ sơ vi phạm | ID: HS013
[2026-04-24 15:52:46] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 15:53:03] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 15:53:11] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 15:53:26] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 15:53:36] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 15:59:29] [admin01] [ADMIN] [LOGIN] User admin01 đã đăng nhập | ID: admin01
[2026-04-24 15:59:52] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 16:00:14] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 16:00:26] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 16:00:51] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 16:01:06] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-24 16:05:05] [admin01] [ADMIN] [LOGIN] User admin01 đã đăng nhập | ID: admin01
[2026-04-24 16:05:33] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-29 11:37:26] [admin01] [ADMIN] [LOGIN] User admin01 đã đăng nhập | ID: admin01
[2026-04-29 11:47:52] [admin01] [ADMIN] [CREATE] Đã thêm mới hồ sơ vi phạm | ID: HS013
[2026-04-29 11:50:43] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-29 11:50:48] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-29 11:50:51] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS013
[2026-04-29 11:51:35] [admin01] [ADMIN] [UPDATE] Đã cập nhật hồ sơ vi phạm | ID: HS010
